DAILY SALES — SEPTEMBER 2025
Date,Product,Variant,Units Sold,Unit Price,Daily Revenue
2025-09-01,House Coffee,Small,12,$2.50,$30.00
2025-09-01,House Coffee,Medium,16,$2.95,$47.20
2025-09-01,House Coffee,Large,8,$3.25,$26.00
2025-09-01,Latte,Small,9,$4.50,$40.50
2025-09-01,Latte,Medium,13,$5.00,$65.00
2025-09-01,Latte,Large,9,$5.50,$49.50
2025-09-01,Cappuccino,Small,6,$4.25,$25.50
2025-09-01,Cappuccino,Medium,9,$4.75,$42.75
2025-09-01,Cappuccino,Large,6,$5.25,$31.50
2025-09-01,Mocha,Small,5,$4.75,$23.75
2025-09-01,Mocha,Medium,7,$5.25,$36.75
2025-09-01,Mocha,Large,4,$5.75,$23.00
2025-09-01,Cold Brew,Small,7,$3.75,$26.25
2025-09-01,Cold Brew,Large,3,$4.50,$13.50
2025-09-01,Green Tea,Small,6,$2.75,$16.50
2025-09-01,Green Tea,Medium,7,$3.10,$21.70
2025-09-01,Green Tea,Large,4,$3.50,$14.00
2025-09-01,Chai Tea Latte,Small,6,$4.25,$25.50
2025-09-01,Chai Tea Latte,Medium,8,$4.75,$38.00
2025-09-01,Chai Tea Latte,Large,5,$5.25,$26.25
2025-09-01,Blueberry Muffin,Standard,13,$2.95,$38.35
2025-09-01,Chocolate Croissant,Standard,8,$3.45,$27.60
2025-09-01,Breakfast Sandwich,Standard,7,$5.95,$41.65
2025-09-01,Pumpkin Spice Latte,Small,7,$5.00,$35.00
2025-09-01,Pumpkin Spice Latte,Medium,9,$5.50,$49.50
2025-09-01,Pumpkin Spice Latte,Large,5,$6.00,$30.00
2025-09-01,Cake Pop,Chocolate,4,$2.00,$8.00
2025-09-01,Cake Pop,Birthday Cake,3,$2.00,$6.00
2025-09-01,Cake Pop,Vanilla,3,$2.00,$6.00
2025-09-02,House Coffee,Small,12,$2.50,$30.00
2025-09-02,House Coffee,Medium,13,$2.95,$38.35
2025-09-02,House Coffee,Large,8,$3.25,$26.00
2025-09-02,Latte,Small,8,$4.50,$36.00
2025-09-02,Latte,Medium,11,$5.00,$55.00
2025-09-02,Latte,Large,8,$5.50,$44.00
2025-09-02,Cappuccino,Small,6,$4.25,$25.50
2025-09-02,Cappuccino,Medium,9,$4.75,$42.75
2025-09-02,Cappuccino,Large,5,$5.25,$26.25
2025-09-02,Mocha,Small,7,$4.75,$33.25
2025-09-02,Mocha,Medium,8,$5.25,$42.00
2025-09-02,Mocha,Large,3,$5.75,$17.25
2025-09-02,Cold Brew,Small,7,$3.75,$26.25
2025-09-02,Cold Brew,Large,3,$4.50,$13.50
2025-09-02,Green Tea,Small,6,$2.75,$16.50
2025-09-02,Green Tea,Medium,7,$3.10,$21.70
2025-09-02,Green Tea,Large,3,$3.50,$10.50
2025-09-02,Chai Tea Latte,Small,5,$4.25,$21.25
2025-09-02,Chai Tea Latte,Medium,9,$4.75,$42.75
2025-09-02,Chai Tea Latte,Large,3,$5.25,$15.75
2025-09-02,Blueberry Muffin,Standard,13,$2.95,$38.35
2025-09-02,Chocolate Croissant,Standard,9,$3.45,$31.05
2025-09-02,Breakfast Sandwich,Standard,6,$5.95,$35.70
2025-09-02,Pumpkin Spice Latte,Small,8,$5.00,$40.00
2025-09-02,Pumpkin Spice Latte,Medium,9,$5.50,$49.50
2025-09-02,Pumpkin Spice Latte,Large,5,$6.00,$30.00
2025-09-02,Cake Pop,Chocolate,4,$2.00,$8.00
2025-09-02,Cake Pop,Birthday Cake,4,$2.00,$8.00
2025-09-02,Cake Pop,Vanilla,1,$2.00,$2.00
2025-09-03,House Coffee,Small,13,$2.50,$32.50
2025-09-03,House Coffee,Medium,16,$2.95,$47.20
2025-09-03,House Coffee,Large,10,$3.25,$32.50
2025-09-03,Latte,Small,9,$4.50,$40.50
2025-09-03,Latte,Medium,14,$5.00,$70.00
2025-09-03,Latte,Large,11,$5.50,$60.50
2025-09-03,Cappuccino,Small,8,$4.25,$34.00
2025-09-03,Cappuccino,Medium,7,$4.75,$33.25
2025-09-03,Cappuccino,Large,4,$5.25,$21.00
2025-09-03,Mocha,Small,5,$4.75,$23.75
2025-09-03,Mocha,Medium,9,$5.25,$47.25
2025-09-03,Mocha,Large,4,$5.75,$23.00
2025-09-03,Cold Brew,Small,8,$3.75,$30.00
2025-09-03,Cold Brew,Large,3,$4.50,$13.50
2025-09-03,Green Tea,Small,4,$2.75,$11.00
2025-09-03,Green Tea,Medium,8,$3.10,$24.80
2025-09-03,Green Tea,Large,5,$3.50,$17.50
2025-09-03,Chai Tea Latte,Small,6,$4.25,$25.50
2025-09-03,Chai Tea Latte,Medium,8,$4.75,$38.00
2025-09-03,Chai Tea Latte,Large,3,$5.25,$15.75
2025-09-03,Blueberry Muffin,Standard,14,$2.95,$41.30
2025-09-03,Chocolate Croissant,Standard,8,$3.45,$27.60
2025-09-03,Breakfast Sandwich,Standard,6,$5.95,$35.70
2025-09-03,Pumpkin Spice Latte,Small,6,$5.00,$30.00
2025-09-03,Pumpkin Spice Latte,Medium,10,$5.50,$55.00
2025-09-03,Pumpkin Spice Latte,Large,4,$6.00,$24.00
2025-09-03,Cake Pop,Chocolate,5,$2.00,$10.00
2025-09-03,Cake Pop,Birthday Cake,4,$2.00,$8.00
2025-09-03,Cake Pop,Vanilla,4,$2.00,$8.00
2025-09-04,House Coffee,Small,13,$2.50,$32.50
2025-09-04,House Coffee,Medium,15,$2.95,$44.25
2025-09-04,House Coffee,Large,10,$3.25,$32.50
2025-09-04,Latte,Small,7,$4.50,$31.50
2025-09-04,Latte,Medium,13,$5.00,$65.00
2025-09-04,Latte,Large,9,$5.50,$49.50
2025-09-04,Cappuccino,Small,6,$4.25,$25.50
2025-09-04,Cappuccino,Medium,8,$4.75,$38.00
2025-09-04,Cappuccino,Large,6,$5.25,$31.50
2025-09-04,Mocha,Small,5,$4.75,$23.75
2025-09-04,Mocha,Medium,7,$5.25,$36.75
2025-09-04,Mocha,Large,4,$5.75,$23.00
2025-09-04,Cold Brew,Small,7,$3.75,$26.25
2025-09-04,Cold Brew,Large,5,$4.50,$22.50
2025-09-04,Green Tea,Small,4,$2.75,$11.00
2025-09-04,Green Tea,Medium,8,$3.10,$24.80
2025-09-04,Green Tea,Large,4,$3.50,$14.00
2025-09-04,Chai Tea Latte,Small,7,$4.25,$29.75
2025-09-04,Chai Tea Latte,Medium,8,$4.75,$38.00
2025-09-04,Chai Tea Latte,Large,4,$5.25,$21.00
2025-09-04,Blueberry Muffin,Standard,11,$2.95,$32.45
2025-09-04,Chocolate Croissant,Standard,7,$3.45,$24.15
2025-09-04,Breakfast Sandwich,Standard,7,$5.95,$41.65
2025-09-04,Pumpkin Spice Latte,Small,6,$5.00,$30.00
2025-09-04,Pumpkin Spice Latte,Medium,8,$5.50,$44.00
2025-09-04,Pumpkin Spice Latte,Large,5,$6.00,$30.00
2025-09-04,Cake Pop,Chocolate,5,$2.00,$10.00
2025-09-04,Cake Pop,Birthday Cake,2,$2.00,$4.00
2025-09-04,Cake Pop,Vanilla,4,$2.00,$8.00
2025-09-05,House Coffee,Small,13,$2.50,$32.50
2025-09-05,House Coffee,Medium,16,$2.95,$47.20
2025-09-05,House Coffee,Large,11,$3.25,$35.75
2025-09-05,Latte,Small,8,$4.50,$36.00
2025-09-05,Latte,Medium,16,$5.00,$80.00
2025-09-05,Latte,Large,11,$5.50,$60.50
2025-09-05,Cappuccino,Small,6,$4.25,$25.50
2025-09-05,Cappuccino,Medium,10,$4.75,$47.50
2025-09-05,Cappuccino,Large,5,$5.25,$26.25
2025-09-05,Mocha,Small,6,$4.75,$28.50
2025-09-05,Mocha,Medium,9,$5.25,$47.25
2025-09-05,Mocha,Large,3,$5.75,$17.25
2025-09-05,Cold Brew,Small,8,$3.75,$30.00
2025-09-05,Cold Brew,Large,3,$4.50,$13.50
2025-09-05,Green Tea,Small,5,$2.75,$13.75
2025-09-05,Green Tea,Medium,7,$3.10,$21.70
2025-09-05,Green Tea,Large,4,$3.50,$14.00
2025-09-05,Chai Tea Latte,Small,7,$4.25,$29.75
2025-09-05,Chai Tea Latte,Medium,8,$4.75,$38.00
2025-09-05,Chai Tea Latte,Large,3,$5.25,$15.75
2025-09-05,Blueberry Muffin,Standard,15,$2.95,$44.25
2025-09-05,Chocolate Croissant,Standard,8,$3.45,$27.60
2025-09-05,Breakfast Sandwich,Standard,6,$5.95,$35.70
2025-09-05,Pumpkin Spice Latte,Small,6,$5.00,$30.00
2025-09-05,Pumpkin Spice Latte,Medium,8,$5.50,$44.00
2025-09-05,Pumpkin Spice Latte,Large,6,$6.00,$36.00
2025-09-05,Cake Pop,Chocolate,6,$2.00,$12.00
2025-09-05,Cake Pop,Birthday Cake,4,$2.00,$8.00
2025-09-05,Cake Pop,Vanilla,3,$2.00,$6.00
2025-09-06,House Coffee,Small,16,$2.50,$40.00
2025-09-06,House Coffee,Medium,20,$2.95,$59.00
2025-09-06,House Coffee,Large,11,$3.25,$35.75
2025-09-06,Latte,Small,10,$4.50,$45.00
2025-09-06,Latte,Medium,18,$5.00,$90.00
2025-09-06,Latte,Large,12,$5.50,$66.00
2025-09-06,Cappuccino,Small,9,$4.25,$38.25
2025-09-06,Cappuccino,Medium,12,$4.75,$57.00
2025-09-06,Cappuccino,Large,7,$5.25,$36.75
2025-09-06,Mocha,Small,8,$4.75,$38.00
2025-09-06,Mocha,Medium,10,$5.25,$52.50
2025-09-06,Mocha,Large,4,$5.75,$23.00
2025-09-06,Cold Brew,Small,8,$3.75,$30.00
2025-09-06,Cold Brew,Large,4,$4.50,$18.00
2025-09-06,Green Tea,Small,7,$2.75,$19.25
2025-09-06,Green Tea,Medium,9,$3.10,$27.90
2025-09-06,Green Tea,Large,6,$3.50,$21.00
2025-09-06,Chai Tea Latte,Small,7,$4.25,$29.75
2025-09-06,Chai Tea Latte,Medium,9,$4.75,$42.75
2025-09-06,Chai Tea Latte,Large,6,$5.25,$31.50
2025-09-06,Blueberry Muffin,Standard,14,$2.95,$41.30
2025-09-06,Chocolate Croissant,Standard,10,$3.45,$34.50
2025-09-06,Breakfast Sandwich,Standard,8,$5.95,$47.60
2025-09-06,Pumpkin Spice Latte,Small,8,$5.00,$40.00
2025-09-06,Pumpkin Spice Latte,Medium,10,$5.50,$55.00
2025-09-06,Pumpkin Spice Latte,Large,8,$6.00,$48.00
2025-09-06,Cake Pop,Chocolate,7,$2.00,$14.00
2025-09-06,Cake Pop,Birthday Cake,4,$2.00,$8.00
2025-09-06,Cake Pop,Vanilla,4,$2.00,$8.00
2025-09-07,House Coffee,Small,8,$2.50,$20.00
2025-09-07,House Coffee,Medium,12,$2.95,$35.40
2025-09-07,House Coffee,Large,8,$3.25,$26.00
2025-09-07,Latte,Small,6,$4.50,$27.00
2025-09-07,Latte,Medium,11,$5.00,$55.00
2025-09-07,Latte,Large,8,$5.50,$44.00
2025-09-07,Cappuccino,Small,4,$4.25,$17.00
2025-09-07,Cappuccino,Medium,6,$4.75,$28.50
2025-09-07,Cappuccino,Large,3,$5.25,$15.75
2025-09-07,Mocha,Small,4,$4.75,$19.00
2025-09-07,Mocha,Medium,5,$5.25,$26.25
2025-09-07,Mocha,Large,3,$5.75,$17.25
2025-09-07,Cold Brew,Small,3,$3.75,$11.25
2025-09-07,Cold Brew,Large,2,$4.50,$9.00
2025-09-07,Green Tea,Small,4,$2.75,$11.00
2025-09-07,Green Tea,Medium,5,$3.10,$15.50
2025-09-07,Green Tea,Large,2,$3.50,$7.00
2025-09-07,Chai Tea Latte,Small,6,$4.25,$25.50
