20235001,12/01/2025,Hopkins Attorney Office,$422.19,12/03/2025,Shipped

Order Number,Order Date,Purchaser,Product ID,Product Name,Variation,Quantity,Unit Price,Line Total,Last Update,Status
20235001,12/01/2025,Hopkins Attorney Office,51,1" Binder,Black,10,$7.31,$73.10,12/03/2025,Shipped
20235001,12/01/2025,Hopkins Attorney Office,13,2-Pocket Folder,Blue,20,$1.69,$33.80,12/03/2025,Shipped
20235001,12/01/2025,Hopkins Attorney Office,20,Printer Paper,Standard,5,$5.12,$25.60,12/03/2025,Shipped
20235001,12/01/2025,Hopkins Attorney Office,82,Gel Pen,Blue Ink,12,$6.81,$81.72,12/03/2025,Shipped
20235001,12/01/2025,Hopkins Attorney Office,36,Expanding File Folder,Red,6,$8.28,$49.68,12/03/2025,Shipped
20235001,12/01/2025,Hopkins Attorney Office,11,Graph Paper,5x5 Grid,8,$5.49,$43.92,12/03/2025,Shipped
20235001,12/01/2025,Hopkins Attorney Office,27,Sticky Notes,3x3,10,$5.35,$53.50,12/03/2025,Shipped
20235001,12/01/2025,Hopkins Attorney Office,9,Scissors,8-inch,2,$4.60,$9.20,12/03/2025,Shipped
20235001,12/01/2025,Hopkins Attorney Office,17,Tape,Clear,6,$4.77,$28.62,12/03/2025,Shipped
20235001,12/01/2025,Hopkins Attorney Office,30,Gel Pen,Blue Ink,3,$5.14,$15.42,12/03/2025,Shipped
