DAILY SALES — DECEMBER 2025
Date,Product,Variant,Units Sold,Unit Price,Daily Revenue
2025-12-01,House Coffee,Small,12,$2.50,$30.00
2025-12-01,House Coffee,Medium,16,$2.95,$47.20
2025-12-01,House Coffee,Large,10,$3.25,$32.50
2025-12-01,Latte,Small,7,$4.50,$31.50
2025-12-01,Latte,Medium,13,$5.00,$65.00
2025-12-01,Latte,Large,11,$5.50,$60.50
2025-12-01,Cappuccino,Small,5,$4.25,$21.25
2025-12-01,Cappuccino,Medium,7,$4.75,$33.25
2025-12-01,Cappuccino,Large,4,$5.25,$21.00
2025-12-01,Mocha,Small,7,$4.75,$33.25
2025-12-01,Mocha,Medium,8,$5.25,$42.00
2025-12-01,Mocha,Large,3,$5.75,$17.25
2025-12-01,Cold Brew,Small,4,$3.75,$15.00
2025-12-01,Cold Brew,Large,1,$4.50,$4.50
2025-12-01,Green Tea,Small,6,$2.75,$16.50
2025-12-01,Green Tea,Medium,7,$3.10,$21.70
2025-12-01,Green Tea,Large,4,$3.50,$14.00
2025-12-01,Chai Tea Latte,Small,7,$4.25,$29.75
2025-12-01,Chai Tea Latte,Medium,9,$4.75,$42.75
2025-12-01,Chai Tea Latte,Large,3,$5.25,$15.75
2025-12-01,Blueberry Muffin,Standard,12,$2.95,$35.40
2025-12-01,Chocolate Croissant,Standard,9,$3.45,$31.05
2025-12-01,Breakfast Sandwich,Standard,7,$5.95,$41.65
2025-12-01,Pumpkin Spice Latte,Small,0,$5.00,$0.00
2025-12-01,Pumpkin Spice Latte,Medium,0,$5.50,$0.00
2025-12-01,Pumpkin Spice Latte,Large,0,$6.00,$0.00
2025-12-01,Cake Pop,Chocolate,5,$2.00,$10.00
2025-12-01,Cake Pop,Birthday Cake,4,$2.00,$8.00
2025-12-01,Cake Pop,Vanilla,3,$2.00,$6.00
2025-12-02,House Coffee,Small,12,$2.50,$30.00
2025-12-02,House Coffee,Medium,16,$2.95,$47.20
2025-12-02,House Coffee,Large,7,$3.25,$22.75
2025-12-02,Latte,Small,8,$4.50,$36.00
2025-12-02,Latte,Medium,12,$5.00,$60.00
2025-12-02,Latte,Large,8,$5.50,$44.00
2025-12-02,Cappuccino,Small,7,$4.25,$29.75
2025-12-02,Cappuccino,Medium,9,$4.75,$42.75
2025-12-02,Cappuccino,Large,5,$5.25,$26.25
2025-12-02,Mocha,Small,6,$4.75,$28.50
2025-12-02,Mocha,Medium,8,$5.25,$42.00
2025-12-02,Mocha,Large,3,$5.75,$17.25
2025-12-02,Cold Brew,Small,4,$3.75,$15.00
2025-12-02,Cold Brew,Large,3,$4.50,$13.50
2025-12-02,Green Tea,Small,4,$2.75,$11.00
2025-12-02,Green Tea,Medium,6,$3.10,$18.60
2025-12-02,Green Tea,Large,4,$3.50,$14.00
2025-12-02,Chai Tea Latte,Small,7,$4.25,$29.75
2025-12-02,Chai Tea Latte,Medium,8,$4.75,$38.00
2025-12-02,Chai Tea Latte,Large,3,$5.25,$15.75
2025-12-02,Blueberry Muffin,Standard,13,$2.95,$38.35
2025-12-02,Chocolate Croissant,Standard,9,$3.45,$31.05
2025-12-02,Breakfast Sandwich,Standard,6,$5.95,$35.70
2025-12-02,Pumpkin Spice Latte,Small,0,$5.00,$0.00
2025-12-02,Pumpkin Spice Latte,Medium,0,$5.50,$0.00
2025-12-02,Pumpkin Spice Latte,Large,0,$6.00,$0.00
2025-12-02,Cake Pop,Chocolate,4,$2.00,$8.00
2025-12-02,Cake Pop,Birthday Cake,4,$2.00,$8.00
2025-12-02,Cake Pop,Vanilla,4,$2.00,$8.00
2025-12-03,House Coffee,Small,12,$2.50,$30.00
2025-12-03,House Coffee,Medium,15,$2.95,$44.25
2025-12-03,House Coffee,Large,9,$3.25,$29.25
2025-12-03,Latte,Small,9,$4.50,$40.50
2025-12-03,Latte,Medium,14,$5.00,$70.00
2025-12-03,Latte,Large,10,$5.50,$55.00
2025-12-03,Cappuccino,Small,7,$4.25,$29.75
2025-12-03,Cappuccino,Medium,9,$4.75,$42.75
2025-12-03,Cappuccino,Large,6,$5.25,$31.50
2025-12-03,Mocha,Small,8,$4.75,$38.00
2025-12-03,Mocha,Medium,8,$5.25,$42.00
2025-12-03,Mocha,Large,3,$5.75,$17.25
2025-12-03,Cold Brew,Small,4,$3.75,$15.00
2025-12-03,Cold Brew,Large,2,$4.50,$9.00
2025-12-03,Green Tea,Small,5,$2.75,$13.75
2025-12-03,Green Tea,Medium,8,$3.10,$24.80
2025-12-03,Green Tea,Large,6,$3.50,$21.00
2025-12-03,Chai Tea Latte,Small,7,$4.25,$29.75
2025-12-03,Chai Tea Latte,Medium,10,$4.75,$47.50
2025-12-03,Chai Tea Latte,Large,4,$5.25,$21.00
2025-12-03,Blueberry Muffin,Standard,13,$2.95,$38.35
2025-12-03,Chocolate Croissant,Standard,8,$3.45,$27.60
2025-12-03,Breakfast Sandwich,Standard,5,$5.95,$29.75
2025-12-03,Pumpkin Spice Latte,Small,0,$5.00,$0.00
2025-12-03,Pumpkin Spice Latte,Medium,0,$5.50,$0.00
2025-12-03,Pumpkin Spice Latte,Large,0,$6.00,$0.00
2025-12-03,Cake Pop,Chocolate,5,$2.00,$10.00
2025-12-03,Cake Pop,Birthday Cake,3,$2.00,$6.00
2025-12-03,Cake Pop,Vanilla,3,$2.00,$6.00
2025-12-04,House Coffee,Small,13,$2.50,$32.50
2025-12-04,House Coffee,Medium,15,$2.95,$44.25
2025-12-04,House Coffee,Large,10,$3.25,$32.50
2025-12-04,Latte,Small,9,$4.50,$40.50
2025-12-04,Latte,Medium,12,$5.00,$60.00
2025-12-04,Latte,Large,11,$5.50,$60.50
2025-12-04,Cappuccino,Small,7,$4.25,$29.75
2025-12-04,Cappuccino,Medium,8,$4.75,$38.00
2025-12-04,Cappuccino,Large,4,$5.25,$21.00
2025-12-04,Mocha,Small,5,$4.75,$23.75
2025-12-04,Mocha,Medium,8,$5.25,$42.00
2025-12-04,Mocha,Large,3,$5.75,$17.25
2025-12-04,Cold Brew,Small,4,$3.75,$15.00
2025-12-04,Cold Brew,Large,1,$4.50,$4.50
2025-12-04,Green Tea,Small,4,$2.75,$11.00
2025-12-04,Green Tea,Medium,6,$3.10,$18.60
2025-12-04,Green Tea,Large,5,$3.50,$17.50
