Product ID,Supplier Name,Product Name,Variation,SKU,UPC,Price,Palette Qty,Palette Cost,In Stock,Pallets In Stock
1,QuillCraft,"3"" Binder",White,67507007,775923551554,$6.72 ,300,"$2,016.00 ",58,2
2,DraftLine,"2"" Binder",Black,13199139,523265597897,$2.67 ,200,$534.00 ,44,1
3,PenWorks,2-Pocket Folder,Green,97122385,425475105780,$8.09 ,200,"$1,618.00 ",37,1
4,PageCraft,Stapler,Full Strip,33731197,763814529710,$14.24 ,200,"$2,848.00 ",22,0
5,PaperPeak,Photo Paper,Glossy,14901006,444096843618,$2.65 ,400,"$1,060.00 ",95,1
6,PenWorks,Index Tabs,5-Tab,72241399,2971560306,$5.86 ,400,"$2,344.00 ",63,1
7,Scribblify,Notebook Paper,Perforated,23615371,341292495483,$15.00 ,300,"$4,500.00 ",28,0
8,WriteCo,Stapler,Full Strip,37304264,989142046558,$3.07 ,300,$921.00 ,41,1
9,PenWorks,Scissors,8-inch,73641572,364069848720,$4.60 ,400,"$1,840.00 ",76,1
10,QuillCraft,Planner,Monthly,68687371,190937306427,$5.28 ,400,"$2,112.00 ",33,0
11,Scribblify,Graph Paper,5x5 Grid,74816031,432569910063,$5.49 ,300,"$1,647.00 ",42,2
12,PenWorks,Engineering Paper,White,21512812,694667828527,$4.87 ,250,"$1,217.50 ",29,0
13,PaperPeak,2-Pocket Folder,Blue,87588696,500547264040,$1.69 ,500,$845.00 ,120,1
14,Binderly,"4"" Binder",Black,45641623,783789538569,$9.92 ,500,"$4,960.00 ",18,0
15,Binderly,Index Cards,3x5,47422170,473400227388,$6.00 ,150,$900.00 ,57,1
16,NoteNest,Index Tabs,5-Tab,92369948,178413968754,$13.97 ,200,"$2,794.00 ",14,0
17,QuillCraft,Tape,Clear,84462068,346091014540,$4.77 ,150,$715.50 ,38,1
18,PageCraft,Tracing Paper,Heavyweight,79689051,87789723356,$1.92 ,500,$960.00 ,102,1
19,NoteNest,Hanging Folder,Blue,21833548,880746954113,$3.65 ,150,$547.50 ,26,0
20,Binderly,Printer Paper,Standard,19375530,318123296216,$5.12 ,200,"$1,024.00 ",48,1
21,PageCraft,Copy Paper,Standard,54961785,676471505009,$10.71 ,250,"$2,677.50 ",33,1
22,PageCraft,"3"" Binder",Black,32091109,247441239858,$10.78 ,250,"$2,695.00 ",21,0
23,PaperPeak,File Jacket,Blue,14447930,849572552011,$8.67 ,300,"$2,601.00 ",39,1
24,PageNest,Index Tabs,5-Tab,5407712,679154272218,$12.60 ,250,"$3,150.00 ",17,0
25,OfficeForge,Tracing Paper,Standard,23837278,118382481214,$8.84 ,300,"$2,652.00 ",31,1
26,OfficeForge,Lined Paper,Wide Ruled,85716162,281651450567,$3.76 ,200,$752.00 ,47,1
27,Scribblify,Sticky Notes,3x3,14412969,474431555541,$5.35 ,500,"$2,675.00 ",120,1
28,WriteCo,File Jacket,Blue,87621752,317920368070,$3.19 ,400,"$1,276.00 ",62,1
29,QuillCraft,Engineering Paper,White,29571295,625150888527,$14.61 ,300,"$4,383.00 ",19,0
