DAILY SALES — JANUARY 2026
Date,Product,Variant,Units Sold,Unit Price,Daily Revenue
2026-01-01,House Coffee,Small,3,$2.50,$7.50
2026-01-01,House Coffee,Medium,5,$2.95,$14.75
2026-01-01,House Coffee,Large,2,$3.25,$6.50
2026-01-01,Latte,Small,2,$4.50,$9.00
2026-01-01,Latte,Medium,3,$5.00,$15.00
2026-01-01,Latte,Large,2,$5.50,$11.00
2026-01-01,Cappuccino,Small,0,$4.25,$0.00
2026-01-01,Cappuccino,Medium,3,$4.75,$14.25
2026-01-01,Cappuccino,Large,2,$5.25,$10.50
2026-01-01,Mocha,Small,1,$4.75,$4.75
2026-01-01,Mocha,Medium,2,$5.25,$10.50
2026-01-01,Mocha,Large,0,$5.75,$0.00
2026-01-01,Cold Brew,Small,2,$3.75,$7.50
2026-01-01,Cold Brew,Large,2,$4.50,$9.00
2026-01-01,Green Tea,Small,1,$2.75,$2.75
2026-01-01,Green Tea,Medium,0,$3.10,$0.00
2026-01-01,Green Tea,Large,1,$3.50,$3.50
2026-01-01,Chai Tea Latte,Small,1,$4.25,$4.25
2026-01-01,Chai Tea Latte,Medium,1,$4.75,$4.75
2026-01-01,Chai Tea Latte,Large,0,$5.25,$0.00
2026-01-01,Blueberry Muffin,Standard,3,$2.95,$8.85
2026-01-01,Chocolate Croissant,Standard,2,$3.45,$6.90
2026-01-01,Breakfast Sandwich,Standard,2,$5.95,$11.90
2026-01-01,Pumpkin Spice Latte,Small,0,$5.00,$0.00
2026-01-01,Pumpkin Spice Latte,Medium,0,$5.50,$0.00
2026-01-01,Pumpkin Spice Latte,Large,0,$6.00,$0.00
2026-01-01,Cake Pop,Chocolate,1,$2.00,$2.00
2026-01-01,Cake Pop,Birthday Cake,0,$2.00,$0.00
2026-01-01,Cake Pop,Vanilla,1,$2.00,$2.00
2026-01-02,House Coffee,Small,10,$2.50,$25.00
2026-01-02,House Coffee,Medium,12,$2.95,$35.40
2026-01-02,House Coffee,Large,7,$3.25,$22.75
2026-01-02,Latte,Small,7,$4.50,$31.50
2026-01-02,Latte,Medium,10,$5.00,$50.00
2026-01-02,Latte,Large,9,$5.50,$49.50
2026-01-02,Cappuccino,Small,6,$4.25,$25.50
2026-01-02,Cappuccino,Medium,8,$4.75,$38.00
2026-01-02,Cappuccino,Large,5,$5.25,$26.25
2026-01-02,Mocha,Small,4,$4.75,$19.00
2026-01-02,Mocha,Medium,7,$5.25,$36.75
2026-01-02,Mocha,Large,4,$5.75,$23.00
2026-01-02,Cold Brew,Small,3,$3.75,$11.25
2026-01-02,Cold Brew,Large,3,$4.50,$13.50
2026-01-02,Green Tea,Small,3,$2.75,$8.25
2026-01-02,Green Tea,Medium,5,$3.10,$15.50
2026-01-02,Green Tea,Large,4,$3.50,$14.00
2026-01-02,Chai Tea Latte,Small,5,$4.25,$21.25
2026-01-02,Chai Tea Latte,Medium,6,$4.75,$28.50
2026-01-02,Chai Tea Latte,Large,4,$5.25,$21.00
2026-01-02,Blueberry Muffin,Standard,9,$2.95,$26.55
2026-01-02,Chocolate Croissant,Standard,5,$3.45,$17.25
2026-01-02,Breakfast Sandwich,Standard,4,$5.95,$23.80
2026-01-02,Pumpkin Spice Latte,Small,0,$5.00,$0.00
2026-01-02,Pumpkin Spice Latte,Medium,0,$5.50,$0.00
2026-01-02,Pumpkin Spice Latte,Large,0,$6.00,$0.00
2026-01-02,Cake Pop,Chocolate,4,$2.00,$8.00
2026-01-02,Cake Pop,Birthday Cake,2,$2.00,$4.00
2026-01-02,Cake Pop,Vanilla,1,$2.00,$2.00
2026-01-03,House Coffee,Small,15,$2.50,$37.50
2026-01-03,House Coffee,Medium,20,$2.95,$59.00
2026-01-03,House Coffee,Large,12,$3.25,$39.00
2026-01-03,Latte,Small,10,$4.50,$45.00
2026-01-03,Latte,Medium,16,$5.00,$80.00
2026-01-03,Latte,Large,13,$5.50,$71.50
2026-01-03,Cappuccino,Small,7,$4.25,$29.75
2026-01-03,Cappuccino,Medium,10,$4.75,$47.50
2026-01-03,Cappuccino,Large,7,$5.25,$36.75
2026-01-03,Mocha,Small,9,$4.75,$42.75
2026-01-03,Mocha,Medium,9,$5.25,$47.25
2026-01-03,Mocha,Large,6,$5.75,$34.50
2026-01-03,Cold Brew,Small,4,$3.75,$15.00
2026-01-03,Cold Brew,Large,4,$4.50,$18.00
2026-01-03,Green Tea,Small,8,$2.75,$22.00
2026-01-03,Green Tea,Medium,8,$3.10,$24.80
2026-01-03,Green Tea,Large,6,$3.50,$21.00
2026-01-03,Chai Tea Latte,Small,7,$4.25,$29.75
2026-01-03,Chai Tea Latte,Medium,10,$4.75,$47.50
2026-01-03,Chai Tea Latte,Large,4,$5.25,$21.00
2026-01-03,Blueberry Muffin,Standard,17,$2.95,$50.15
2026-01-03,Chocolate Croissant,Standard,11,$3.45,$37.95
2026-01-03,Breakfast Sandwich,Standard,9,$5.95,$53.55
2026-01-03,Pumpkin Spice Latte,Small,0,$5.00,$0.00
2026-01-03,Pumpkin Spice Latte,Medium,0,$5.50,$0.00
2026-01-03,Pumpkin Spice Latte,Large,0,$6.00,$0.00
2026-01-03,Cake Pop,Chocolate,5,$2.00,$10.00
2026-01-03,Cake Pop,Birthday Cake,5,$2.00,$10.00
2026-01-03,Cake Pop,Vanilla,3,$2.00,$6.00
2026-01-04,House Coffee,Small,10,$2.50,$25.00
2026-01-04,House Coffee,Medium,11,$2.95,$32.45
2026-01-04,House Coffee,Large,7,$3.25,$22.75
2026-01-04,Latte,Small,5,$4.50,$22.50
2026-01-04,Latte,Medium,10,$5.00,$50.00
2026-01-04,Latte,Large,8,$5.50,$44.00
2026-01-04,Cappuccino,Small,5,$4.25,$21.25
2026-01-04,Cappuccino,Medium,7,$4.75,$33.25
2026-01-04,Cappuccino,Large,4,$5.25,$21.00
2026-01-04,Mocha,Small,5,$4.75,$23.75
2026-01-04,Mocha,Medium,5,$5.25,$26.25
2026-01-04,Mocha,Large,2,$5.75,$11.50
2026-01-04,Cold Brew,Small,3,$3.75,$11.25
2026-01-04,Cold Brew,Large,0,$4.50,$0.00
2026-01-04,Green Tea,Small,5,$2.75,$13.75
2026-01-04,Green Tea,Medium,5,$3.10,$15.50
2026-01-04,Green Tea,Large,2,$3.50,$7.00
2026-01-04,Chai Tea Latte,Small,5,$4.25,$21.25
2026-01-04,Chai Tea Latte,Medium,5,$4.75,$23.75
2026-01-04,Chai Tea Latte,Large,4,$5.25,$21.00
2026-01-04,Blueberry Muffin,Standard,10,$2.95,$29.50
2026-01-04,Chocolate Croissant,Standard,5,$3.45,$17.25
2026-01-04,Breakfast Sandwich,Standard,3,$5.95,$17.85
2026-01-04,Pumpkin Spice Latte,Small,0,$5.00,$0.00
2026-01-04,Pumpkin Spice Latte,Medium,0,$5.50,$0.00
2026-01-04,Pumpkin Spice Latte,Large,0,$6.00,$0.00
2026-01-04,Cake Pop,Chocolate,4,$2.00,$8.00
2026-01-04,Cake Pop,Birthday Cake,2,$2.00,$4.00
2026-01-04,Cake Pop,Vanilla,1,$2.00,$2.00
2026-01-05,House Coffee,Small,11,$2.50,$27.50
2026-01-05,House Coffee,Medium,14,$2.95,$41.30
2026-01-05,House Coffee,Large,10,$3.25,$32.50
2026-01-05,Latte,Small,7,$4.50,$31.50
2026-01-05,Latte,Medium,12,$5.00,$60.00
