DAILY SALES — AUGUST 2025
Date,Product,Variant,Units Sold,Unit Price,Daily Revenue
2025-08-01,House Coffee,Small,14,$2.50,$35.00
2025-08-01,House Coffee,Medium,16,$2.95,$47.20
2025-08-01,House Coffee,Large,10,$3.25,$32.50
2025-08-01,Latte,Small,8,$4.50,$36.00
2025-08-01,Latte,Medium,16,$5.00,$80.00
2025-08-01,Latte,Large,12,$5.50,$66.00
2025-08-01,Cappuccino,Small,8,$4.25,$34.00
2025-08-01,Cappuccino,Medium,8,$4.75,$38.00
2025-08-01,Cappuccino,Large,6,$5.25,$31.50
2025-08-01,Mocha,Small,5,$4.75,$23.75
2025-08-01,Mocha,Medium,7,$5.25,$36.75
2025-08-01,Mocha,Large,5,$5.75,$28.75
2025-08-01,Cold Brew,Small,7,$3.75,$26.25
2025-08-01,Cold Brew,Large,4,$4.50,$18.00
2025-08-01,Green Tea,Small,6,$2.75,$16.50
2025-08-01,Green Tea,Medium,8,$3.10,$24.80
2025-08-01,Green Tea,Large,4,$3.50,$14.00
2025-08-01,Chai Tea Latte,Small,7,$4.25,$29.75
2025-08-01,Chai Tea Latte,Medium,10,$4.75,$47.50
2025-08-01,Chai Tea Latte,Large,3,$5.25,$15.75
2025-08-01,Blueberry Muffin,Standard,15,$2.95,$44.25
2025-08-01,Chocolate Croissant,Standard,10,$3.45,$34.50
2025-08-01,Breakfast Sandwich,Standard,6,$5.95,$35.70
2025-08-01,Pumpkin Spice Latte,Small,3,$5.00,$15.00
2025-08-01,Pumpkin Spice Latte,Medium,6,$5.50,$33.00
2025-08-01,Pumpkin Spice Latte,Large,2,$6.00,$12.00
2025-08-01,Cake Pop,Chocolate,5,$2.00,$10.00
2025-08-01,Cake Pop,Birthday Cake,2,$2.00,$4.00
2025-08-01,Cake Pop,Vanilla,4,$2.00,$8.00
2025-08-02,House Coffee,Small,16,$2.50,$40.00
2025-08-02,House Coffee,Medium,20,$2.95,$59.00
2025-08-02,House Coffee,Large,12,$3.25,$39.00
2025-08-02,Latte,Small,11,$4.50,$49.50
2025-08-02,Latte,Medium,18,$5.00,$90.00
2025-08-02,Latte,Large,13,$5.50,$71.50
2025-08-02,Cappuccino,Small,8,$4.25,$34.00
2025-08-02,Cappuccino,Medium,11,$4.75,$52.25
2025-08-02,Cappuccino,Large,7,$5.25,$36.75
2025-08-02,Mocha,Small,9,$4.75,$42.75
2025-08-02,Mocha,Medium,9,$5.25,$47.25
2025-08-02,Mocha,Large,6,$5.75,$34.50
2025-08-02,Cold Brew,Small,8,$3.75,$30.00
2025-08-02,Cold Brew,Large,5,$4.50,$22.50
2025-08-02,Green Tea,Small,6,$2.75,$16.50
2025-08-02,Green Tea,Medium,8,$3.10,$24.80
2025-08-02,Green Tea,Large,4,$3.50,$14.00
2025-08-02,Chai Tea Latte,Small,7,$4.25,$29.75
2025-08-02,Chai Tea Latte,Medium,10,$4.75,$47.50
2025-08-02,Chai Tea Latte,Large,6,$5.25,$31.50
2025-08-02,Blueberry Muffin,Standard,15,$2.95,$44.25
2025-08-02,Chocolate Croissant,Standard,10,$3.45,$34.50
2025-08-02,Breakfast Sandwich,Standard,7,$5.95,$41.65
2025-08-02,Pumpkin Spice Latte,Small,3,$5.00,$15.00
