Product ID,Supplier Name,Product Name,Variation,SKU,UPC,Price,Palette Qty,Palette Cost
1,QuillCraft,3" Binder,White,67507007,775923551554,$6.72,300,$2016
2,DraftLine,2" Binder,Black,13199139,523265597897,$2.67,200,$534
3,PenWorks,2-Pocket Folder,Green,97122385,425475105780,$8.09,200,$1618
4,PageCraft,Stapler,Full Strip,33731197,763814529710,$14.24,200,$2848
5,PaperPeak,Photo Paper,Glossy,14901006,444096843618,$2.65,400,$1060
6,PenWorks,Index Tabs,5-Tab,72241399,002971560306,$5.86,400,$2344
7,Scribblify,Notebook Paper,Perforated,23615371,341292495483,$15.00,300,$4500
8,WriteCo,Stapler,Full Strip,37304264,989142046558,$3.07,300,$921
9,PenWorks,Scissors,8-inch,73641572,364069848720,$4.60,400,$1840
10,QuillCraft,Planner,Monthly,68687371,190937306427,$5.28,400,$2112
11,Scribblify,Graph Paper,5x5 Grid,74816031,432569910063,$5.49,300,$1647
12,PenWorks,Engineering Paper,White,21512812,694667828527,$4.87,250,$1217.50
13,PaperPeak,2-Pocket Folder,Blue,87588696,500547264040,$1.69,500,$845
14,Binderly,4" Binder,Black,45641623,783789538569,$9.92,500,$4960
15,Binderly,Index Cards,3x5,47422170,473400227388,$6.00,150,$900
16,NoteNest,Index Tabs,5-Tab,92369948,178413968754,$13.97,200,$2794
17,QuillCraft,Tape,Clear,84462068,346091014540,$4.77,150,$715.50
18,PageCraft,Tracing Paper,Heavyweight,79689051,087789723356,$1.92,500,$960
19,NoteNest,Hanging Folder,Blue,21833548,880746954113,$3.65,150,$547.50
20,Binderly,Printer Paper,Standard,19375530,318123296216,$5.12,200,$1024
21,PageCraft,Copy Paper,Standard,54961785,676471505009,$10.71,250,$2677.50
22,PageCraft,3" Binder,Black,32091109,247441239858,$10.78,250,$2695
23,PaperPeak,File Jacket,Blue,14447930,849572552011,$8.67,300,$2601
24,PageNest,Index Tabs,5-Tab,05407712,679154272218,$12.60,250,$3150
25,OfficeForge,Tracing Paper,Standard,23837278,118382481214,$8.84,300,$2652
26,OfficeForge,Lined Paper,Wide Ruled,85716162,281651450567,$3.76,200,$752
27,Scribblify,Sticky Notes,3x3,14412969,474431555541,$5.35,500,$2675
28,WriteCo,File Jacket,Blue,87621752,317920368070,$3.19,400,$1276
29,QuillCraft,Engineering Paper,White,29571295,625150888527,$14.61,300,$4383
30,OfficeForge,Gel Pen,Blue Ink,38932812,603760145934,$5.14,250,$1285
31,QuillCraft,Stapler,Compact,88823039,046255875031,$9.61,250,$2402.50
32,WriteCo,Cardstock,Assorted Colors,76789486,023641489111,$10.34,300,$3102
33,Scribblify,Cardstock,White,65485552,707374404231,$9.22,200,$1844
34,OfficeForge,Sketch Paper,Lightweight,38762324,799532633898,$4.97,200,$994
35,Binderly,Notebook,Composition,09334124,072779763441,$4.49,300,$1347
36,QuillCraft,Expanding File Folder,Red,22837014,787115976909,$8.28,200,$1656
37,PageNest,Cardstock,Assorted Colors,32330257,794827421223,$14.32,500,$7160
38,WriteCo,Printer Paper,Standard,93323137,093866342215,$1.78,250,$445
39,QuillCraft,2-Pocket Folder,Blue,51478781,135772534442,$8.46,300,$2538
